"pmid","cited","c"
31165401,19840300,165
31165401,25123125,71
31165401,26464850,15
31165401,27848961,574
31165401,28824889,42
31165401,30538082,53
31165401,30665436,53
31972627,23812965,62
31972627,28631453,15
31972627,29046996,16
31972627,29682064,4
31972627,30617715,29
32107102,20021320,161
32107102,24108440,153
32107102,24402128,65
32107102,25034946,402
32107102,25066091,141
32248699,22135359,957
32248699,27609410,85
32248699,28763933,140
32248699,30741787,46
32248699,30909100,36
32453105,23314788,139
32453105,23642682,70
32453105,24867110,5
32453105,27653007,2
32478574,21143864,32
32478574,25882053,43
32478574,25977572,30
32478574,27176943,16
32478574,28440116,13
32478574,28878950,12
32478574,29743171,33
32478574,31095084,203
32563588,23544139,35
32563588,25255427,83
32563588,28270247,94
32563588,29173526,27
32563588,29846261,37
32563588,30452919,80
32563588,31262067,46
32588769,22095343,276
32588769,23643338,77
32588769,25670406,240
32588769,25834628,61
32605411,21989306,30
32605411,22400974,57
32605411,27192359,22
32605411,29929583,19
32605411,31462531,8538
32610023,31387180,11
32610023,32239204,28
32648071,29116394,52
32648071,29557251,18
32648071,30594252,23
32648071,31801154,18
32777987,20499072,126
32777987,20823102,100
32777987,23287847,30
32777987,25663609,36
32777987,26887577,41
32777987,28390491,13
32777987,29770169,22
32777987,31405705,6
32829725,20079955,26
32829725,20411210,5
32829725,21709162,16
32829725,23110473,15
32829725,24499738,14
32829725,30118640,3
32852860,22524332,49
32852860,22631882,28
32852860,22703187,26
32852860,25427764,35
32898034,27215771,21
32898034,27227792,11
33064235,20213186,108
33064235,20613859,4795
33064235,26328470,115
33064235,30684340,14
33064235,32403046,20
33078667,22233397,12
33078667,25391329,18
33078667,29236934,16
33078667,29708943,57
33078667,29889597,7
33089659,22813358,26
33089659,25724391,65
33089659,27543122,38
33089659,27878937,130
33106080,20012122,25
33106080,30503631,11
33139057,20613859,4795
33139057,23351770,41
33139057,26163303,106
33139057,31116830,58
33139057,31488110,13
33139057,31952138,16
33156013,20122741,16
33156013,22210241,24
33156013,23411667,13
33156013,25242344,83
33156013,26519901,560
33156013,27752078,368
33156013,27933583,27
33156013,29090386,4
33156013,29601657,25
33292901,23149164,23
33292901,24798762,38
33292901,28211230,106
33292901,28241432,36
33292901,28241995,78
33292901,29084727,160
33292901,29941782,17
33292901,30503075,11
33292901,32512886,18
33300393,23554014,21
33300393,30853128,21
33300393,31855494,2
33345652,20705450,16
33345652,21318437,73
33345652,24612935,12
33345652,25248040,78
33345652,25304130,17
33345652,26307595,15
33345652,26370636,4
33345652,27888446,5
33345652,29894348,8
33345652,30130348,3
33345652,30667036,2
33345652,31486147,4
33345652,32439296,21
33345652,32835205,15
33350317,24967267,16
33350317,25831042,52
33350317,26965492,33
33350317,28585690,27
33350317,29068453,15
33354987,20384847,198
33354987,22135359,957
33354987,24867656,30
33354987,25991078,26
33354987,26458747,17
33354987,28247857,20
33354987,29380857,22
33354987,29936927,19
33356450,19967563,41
33356450,29124701,37
33356450,31198446,6
33356450,31336556,11
