"pmid","seed","c","is_seed"
31165401,29344438,26,TRUE
31165401,25123125,71,TRUE
31165401,30665436,53,TRUE
31165401,24643802,51,TRUE
31165401,20672012,243,TRUE
31972627,29978278,19,TRUE
31972627,29628833,6,TRUE
31972627,27228013,69,TRUE
31972627,29046996,16,TRUE
31972627,22578606,1,TRUE
32107102,25066091,141,TRUE
32107102,25379453,112,TRUE
32107102,29385594,70,TRUE
32107102,20970118,82,TRUE
32107102,29560915,44,TRUE
32248699,25600112,148,TRUE
32248699,25229653,74,TRUE
32248699,30909100,36,TRUE
32248699,28844700,26,TRUE
32248699,29923866,41,TRUE
32453105,20465742,55,TRUE
32453105,23427677,1,TRUE
32453105,22841611,29,TRUE
32453105,23642682,70,TRUE
32453105,20880043,61,TRUE
32478574,27431356,1050,TRUE
32478574,22052934,1102,TRUE
32478574,21513547,4652,TRUE
32478574,24029303,68,TRUE
32478574,27919935,20,TRUE
32563588,31050763,6,TRUE
32563588,29846261,37,TRUE
32563588,25274158,44,TRUE
32563588,29850915,20,TRUE
32563588,27988792,12,TRUE
32588769,21784880,3718,TRUE
32588769,28813254,17,TRUE
32588769,24743774,320,TRUE
32588769,29333943,9,TRUE
32588769,25670406,240,TRUE
32605411,21309962,96,TRUE
32605411,23331796,130,TRUE
32605411,31462531,8538,TRUE
32605411,29929583,19,TRUE
32605411,30173988,20,TRUE
32610023,31937931,17,TRUE
32610023,26919330,18,TRUE
32610023,33172325,2,TRUE
32610023,24521871,50,TRUE
32610023,27366921,16,TRUE
32648071,24183418,77,TRUE
32648071,25667750,15,TRUE
32648071,31439358,15,TRUE
32648071,30088432,16,TRUE
32648071,25371130,101,TRUE
32777987,29770169,22,TRUE
32777987,21859453,103,TRUE
32777987,19783122,116,TRUE
32777987,30019089,16,TRUE
32777987,30086485,14,TRUE
32829725,30217044,2,TRUE
32829725,20079955,26,TRUE
32829725,31591192,27,TRUE
32829725,22950686,6,TRUE
32829725,27034978,69,TRUE
32852860,20141361,45,TRUE
32852860,26693694,13,TRUE
32852860,27862342,38,TRUE
32852860,30610840,17,TRUE
32852860,23407990,205,TRUE
32898034,27215771,21,TRUE
32898034,29570572,16,TRUE
32898034,27227792,11,TRUE
32898034,21116198,46,TRUE
32898034,22845418,22,TRUE
33064235,27762246,48,TRUE
33064235,24520367,13,TRUE
33064235,26499977,103,TRUE
33064235,24117263,52,TRUE
33064235,26240139,68,TRUE
33078667,29155276,25,TRUE
33078667,23685501,3,TRUE
33078667,25887550,52,TRUE
33078667,22842780,26,TRUE
33078667,29236934,16,TRUE
33089659,31567354,44,TRUE
33089659,31150595,9,TRUE
33089659,22813358,26,TRUE
33089659,26597804,118,TRUE
33089659,21859919,61,TRUE
33106080,26004064,47,TRUE
33106080,28958616,46,TRUE
33106080,23949052,10,TRUE
33106080,31536575,69,TRUE
33106080,21604229,72,TRUE
33139057,27146701,152,TRUE
33139057,31655837,7,TRUE
33139057,31488110,13,TRUE
33139057,31952138,16,TRUE
33139057,27141160,47,TRUE
33156013,27752078,368,TRUE
33156013,24668475,562,TRUE
33156013,28656803,23,TRUE
33156013,27555379,140,TRUE
33156013,28848102,17,TRUE
33292901,20089205,48,TRUE
33292901,24021021,25,TRUE
33292901,21063428,42,TRUE
33292901,29803300,23,TRUE
33292901,30477217,36,TRUE
33300393,27208458,133,TRUE
33300393,25393086,13,TRUE
33300393,20836607,18,TRUE
33300393,28768404,16,TRUE
33300393,22492613,31,TRUE
33345652,22309584,4,TRUE
33345652,27154158,60,TRUE
33345652,21641147,6,TRUE
33345652,27607406,12,TRUE
33345652,27832332,11,TRUE
33350317,24967267,16,TRUE
33350317,28469541,28,TRUE
33350317,22198281,129,TRUE
33350317,26965492,33,TRUE
33350317,29998301,107,TRUE
33354987,25628334,16,TRUE
33354987,20383233,114,TRUE
33354987,23398528,174,TRUE
33354987,29462973,53,TRUE
33354987,29569544,34,TRUE
33356450,29372051,21,TRUE
33356450,30415637,529,TRUE
33356450,23001438,55,TRUE
33356450,29424105,21,TRUE
33356450,29258769,44,TRUE
33356467,26614004,70,TRUE
33356467,25439136,12,TRUE
33356467,23602205,58,TRUE
33356467,25260885,94,TRUE
33356467,32383748,16,TRUE
33401963,31624418,43,TRUE
33401963,28328713,30,TRUE
33401963,28496410,73,TRUE
33401963,24324449,3749,TRUE
33401963,23542878,120,TRUE
33442819,23845574,137,TRUE
33442819,28500540,12,TRUE
33442819,25015681,31,TRUE
33442819,20577740,211,TRUE
33442819,28689357,11,TRUE
33452143,32171076,16142,TRUE
33452143,33166991,21,TRUE
33452143,32607928,137,TRUE
33452143,33352430,107,TRUE
33452143,27599399,26,TRUE
33461469,30724638,40,TRUE
33461469,29079606,75,TRUE
33461469,29777153,61,TRUE
33461469,29974600,2,TRUE
33461469,24794371,928,TRUE
33468040,21959223,175,TRUE
33468040,27580985,3,TRUE
33468040,23184312,14,TRUE
33468040,23788730,697,TRUE
33468040,29154591,2,TRUE
33480268,21784145,182,TRUE
33480268,28857505,354,TRUE
33480268,31210036,104,TRUE
33480268,31309919,11,TRUE
33480268,28673352,75,TRUE
33506616,31113000,27,TRUE
33506616,26042513,10,TRUE
33506616,26535072,20,TRUE
33506616,23632414,12,TRUE
33506616,19855290,17,TRUE
33507124,30615299,22,TRUE
33507124,27117012,9,TRUE
33507124,22737536,15,TRUE
33507124,21396645,34,TRUE
33507124,31728371,1,TRUE
33516775,20068583,2444,TRUE
33516775,25716847,125,TRUE
33516775,31398426,7,TRUE
33516775,29357294,7,TRUE
33516775,29313388,127,TRUE
33547785,30384259,294,TRUE
33547785,28343144,127,TRUE
33547785,31102786,37,TRUE
33547785,32082479,85,TRUE
33547785,26992136,37,TRUE
33554654,25727730,68,TRUE
33554654,22008217,19839,TRUE
33554654,33187518,9,TRUE
33554654,31010275,12,TRUE
33554654,31231758,30,TRUE
33559110,30027216,7,TRUE
33559110,31318585,42,TRUE
33559110,30358825,57,TRUE
33559110,28860206,56,TRUE
33559110,32220207,148,TRUE
33567466,26001028,33,TRUE
33567466,30676267,9,TRUE
33567466,30222529,9,TRUE
33567466,28681369,7,TRUE
33567466,24224438,7,TRUE
33586785,27672573,28,TRUE
33586785,23629979,37,TRUE
33586785,20117627,138,TRUE
33586785,21360125,61,TRUE
33586785,30648657,8,TRUE
33604736,20595133,52,TRUE
33604736,27553502,21,TRUE
33604736,22183735,14,TRUE
33604736,26441252,21,TRUE
33604736,30276450,16,TRUE
33630155,31439046,22,TRUE
33630155,26590566,95,TRUE
33630155,26725134,130,TRUE
33630155,29476323,27,TRUE
33630155,25060560,33,TRUE
33630442,24324224,374,TRUE
33630442,25423556,46,TRUE
33630442,26720272,80,TRUE
33630442,28040257,2154,TRUE
33630442,27154803,62,TRUE
33635144,24939829,23,TRUE
33635144,21532419,104,TRUE
33635144,29699849,5,TRUE
33635144,29889081,5,TRUE
33635144,25824195,16,TRUE
33642162,23680130,343,TRUE
33642162,27354354,27,TRUE
33642162,31216218,10,TRUE
33642162,24794369,345,TRUE
33642162,20569811,484,TRUE
33674255,25015037,180,TRUE
33674255,28625700,62,TRUE
33674255,33457669,2,TRUE
33674255,31748953,62,TRUE
33674255,23682955,28,TRUE
33674256,26663687,28,TRUE
33674256,30644584,117,TRUE
33674256,27103611,125,TRUE
33674256,23350833,78,TRUE
33674256,22415717,25,TRUE
33677526,20674994,2,TRUE
33677526,28259226,41,TRUE
33677526,25899714,15,TRUE
33677526,21911339,548,TRUE
33677526,22281249,154,TRUE
33682528,28752532,86,TRUE
33682528,27278820,64,TRUE
33682528,31465509,36,TRUE
33682528,27392941,75,TRUE
33682528,22310237,114,TRUE
33682534,32276100,5,TRUE
33682534,23287418,51,TRUE
33682534,22054719,19,TRUE
33682534,27497743,44,TRUE
33682534,27776832,36,TRUE
33720786,22815414,27,TRUE
33720786,28242067,23,TRUE
33720786,23515712,358,TRUE
33720786,22866765,26,TRUE
33720786,21233405,119,TRUE
33729051,20541077,6,TRUE
33729051,28615184,119,TRUE
33729051,28926146,27,TRUE
33729051,30523018,3,TRUE
33729051,30825732,11,TRUE
33729077,20024341,120,TRUE
33729077,30818864,19,TRUE
33729077,25343502,115,TRUE
33729077,31341642,19,TRUE
33729077,29088257,4,TRUE
33748913,29112564,24,TRUE
33748913,30266417,18,TRUE
33748913,26024909,67,TRUE
33748913,26352106,126,TRUE
33748913,26061850,204,TRUE
33757612,25688471,51,TRUE
33757612,29739244,7,TRUE
33757612,22032844,1287,TRUE
33757612,31234230,37,TRUE
33757612,29031546,20,TRUE
33770330,30940209,107,TRUE
33770330,20525992,10736,TRUE
33770330,30546965,34,TRUE
33770330,29123955,123,TRUE
33770330,29055840,47,TRUE
33772396,24882906,35,TRUE
33772396,30819182,5,TRUE
33772396,23738622,6,TRUE
33772396,21796489,56,TRUE
33772396,26188535,13,TRUE
33772904,23328193,152,TRUE
33772904,26949487,30,TRUE
33772904,26116957,26,TRUE
33772904,29663915,8,TRUE
33772904,31955271,27,TRUE
33782788,31111449,10,TRUE
33782788,28623910,6,TRUE
33782788,27116377,4,TRUE
33782788,23741057,2392,TRUE
33782788,28954293,84,TRUE
33794112,28624676,45,TRUE
33794112,30594300,39,TRUE
33794112,27683018,44,TRUE
33794112,30834576,30,TRUE
33794112,30299116,55,TRUE
33794125,27798006,49,TRUE
33794125,25472731,16,TRUE
33794125,26071682,300,TRUE
33794125,25264996,14,TRUE
33794125,29258973,16,TRUE
33825013,26517845,33,TRUE
33825013,22692462,21,TRUE
33825013,31445039,54,TRUE
33825013,27370173,108,TRUE
33825013,26782817,137,TRUE
33847250,25192584,92,TRUE
33847250,25420063,22,TRUE
33847250,20070207,1015,TRUE
33847250,22516491,188,TRUE
33847250,30092606,24,TRUE
33849675,21820991,288,TRUE
33849675,25126996,110,TRUE
33849675,22883473,176,TRUE
33849675,26142687,69,TRUE
33849675,25554246,12484,TRUE
33856128,31590097,15,TRUE
33856128,30999739,64,TRUE
33856128,22677350,65,TRUE
33856128,23692173,803,TRUE
33856128,27682033,1144,TRUE
33861654,27882469,16,TRUE
33861654,30099327,33,TRUE
33861654,26374088,41,TRUE
33861654,30489512,3,TRUE
33861654,25517410,20,TRUE
33864938,31982036,260,TRUE
33864938,29195088,37,TRUE
33864938,30097390,472,TRUE
33864938,21497029,77,TRUE
33864938,29576028,18,TRUE
33871294,22248150,41,TRUE
33871294,32888367,13,TRUE
33871294,25822003,19,TRUE
33871294,24276333,3,TRUE
33871294,22342397,12,TRUE
33876534,32563767,72,TRUE
33876534,19962939,158,TRUE
33876534,20122136,588,TRUE
33876534,22239934,60,TRUE
33876534,25479571,15,TRUE
33877016,32067055,19,TRUE
33877016,26994132,62,TRUE
33877016,33517033,8,TRUE
33877016,26260352,27,TRUE
33877016,32737653,5,TRUE
33882703,26080163,47,TRUE
33882703,21740168,62,TRUE
33882703,27673519,63,TRUE
